Year,Geographic Region,State,Group Method,Method,Suicides,Group Percentage
2010,Western,Arizona,Veteran Method,Other and low-count methods,25,12.3
2010,Western,California,Veteran Method,Firearms,335,58.8
2010,Western,California,Veteran Method,Poisoning,104,18.2
2010,Western,California,Veteran Method,Suffocation,93,16.3
2010,Western,California,Veteran Method,Other suicide,38,6.7
2010,Western,Colorado,Veteran Method,Firearms,92,65.2
2010,Western,Colorado,Veteran Method,Poisoning,23,16.3
2010,Western,Colorado,Veteran Method,Other and low-count methods,26,18.4
2010,Western,Hawaii,Veteran Method,Suffocation,10,47.6
2010,Western,Hawaii,Veteran Method,Other and low-count methods,11,52.4
2010,Western,Idaho,Veteran Method,Other and low-count methods,59,100
2010,Western,Montana,Veteran Method,Firearms,45,76.3
2010,Western,Montana,Veteran Method,Other and low-count methods,14,23.7
2010,Western,Nevada,Veteran Method,Firearms,81,67.5
2010,Western,Nevada,Veteran Method,Poisoning,18,15
2010,Western,Nevada,Veteran Method,Other and low-count methods,21,17.5
2010,Western,New Mexico,Veteran Method,Firearms,48,67.6
2010,Western,New Mexico,Veteran Method,Other and low-count methods,23,32.4
2010,Western,Oregon,Veteran Method,Firearms,97,70.8
2010,Western,Oregon,Veteran Method,Poisoning,24,17.5
2010,Western,Oregon,Veteran Method,Other and low-count methods,16,11.7
2010,Western,Utah,Veteran Method,Firearms,48,71.6
2010,Western,Utah,Veteran Method,Other and low-count methods,19,28.4
2010,Western,Washington,Veteran Method,Firearms,113,63.1
2010,Western,Washington,Veteran Method,Poisoning,28,15.6
2010,Western,Washington,Veteran Method,Suffocation,26,14.5
2010,Western,Washington,Veteran Method,Other suicide,12,6.7
2010,Western,Wyoming,Veteran Method,Other and low-count methods,27,100
2011,All,U.S. Total,Veteran Method,Firearms,"4,338",67
2011,All,U.S. Total,Veteran Method,Poisoning,788,12.2
2011,All,U.S. Total,Veteran Method,Suffocation,995,15.4
2011,All,U.S. Total,Veteran Method,Other suicide,349,5.4
2011,Northeastern,Region Total,Veteran Method,Firearms,474,56.5
2011,Northeastern,Region Total,Veteran Method,Poisoning,109,13
2011,Northeastern,Region Total,Veteran Method,Suffocation,185,22.1
2011,Northeastern,Region Total,Veteran Method,Other suicide,71,8.5
2011,Northeastern,Connecticut,Veteran Method,Firearms,27,48.2
