FIPS,elevation_meters,elevation_feet
05053,99.0,324.80316
05055,145.0,475.7218
05057,113.0,370.73492
05059,114.0,374.01576
05061,139.0,456.03676
05063,110.0,360.8924
05065,212.0,695.53808
05067,71.0,232.93964
05069,64.0,209.97376
05071,273.0,895.66932
05073,87.0,285.43308
05075,75.0,246.063
05077,67.0,219.81628
05079,53.0,173.88452
05081,110.0,360.8924
05083,205.0,672.5722
05085,73.0,239.50132
05087,433.0,1420.60372
05089,297.0,974.40948
05091,106.0,347.76904
05093,69.0,226.37796
05095,55.0,180.4462
05097,302.0,990.81368
05099,93.0,305.11812
05101,552.0,1811.02368
05103,64.0,209.97376
05105,110.0,360.8924
05107,50.0,164.042
05109,206.0,675.85304
05111,111.0,364.17324
05113,426.0,1397.63784
05115,202.0,662.72968
05117,66.0,216.53544
05119,119.0,390.41996
05121,163.0,534.77692
05123,97.0,318.24148
05125,160.0,524.9344
05127,285.0,935.0394
05129,270.0,885.8268
05131,162.0,531.49608
05133,129.0,423.22836
05135,217.0,711.94228
05137,213.0,698.81892
05139,59.0,193.56956
05141,245.0,803.8058
05143,415.0,1361.5486
05145,74.0,242.78216
05147,58.0,190.28872
05149,277.0,908.79268
06001,266.0,872.70344
06003,2347.0,7700.13148
06005,711.0,2332.67724
06007,182.0,597.11288
06009,689.0,2260.49876
06011,35.0,114.82939999999999
06013,346.0,1135.17064
06015,381.0,1250.00004
06017,1244.0,4081.36496
06019,106.0,347.76904
06021,244.0,800.52496
06023,752.0,2467.19168
06025,-14.0,-45.93176
06027,1521.0,4990.15764
06029,354.0,1161.41736
06031,53.0,173.88452
06033,971.0,3185.69564
06035,2143.0,7030.84012
06037,669.0,2194.88196
06039,572.0,1876.64048
06041,103.0,337.92652
06043,923.0,3028.21532
06045,317.0,1040.02628
06047,27.0,88.58268
06049,1545.0,5068.8978
06051,2469.0,8100.39396
06053,364.0,1194.22576
06055,412.0,1351.70608
06057,1388.0,4553.80592
06059,43.0,141.07612
06061,1019.0,3343.17596
06063,1939.0,6361.54876
06065,779.0,2555.77436
06067,16.0,52.49344
06069,886.0,2906.82424
06071,395.0,1295.9318
06073,734.0,2408.13656
06075,0.0,0.0
06077,6.0,19.68504
06079,589.0,1932.41476
06081,213.0,698.81892
06083,860.0,2821.5224
06085,311.0,1020.34124
06087,134.0,439.63256
06089,534.0,1751.96856
06091,2257.0,7404.85588
06093,803.0,2634.51452
06095,17.0,55.77428
06097,422.0,1384.51448
06099,26.0,85.30184
06101,11.0,36.08924
06103,95.0,311.6798
06105,1591.0,5219.81644
06107,703.0,2306.43052
06109,1845.0,6053.1498
06111,259.0,849.73756
06113,39.0,127.95276
06115,261.0,856.2992399999999
08001,1576.0,5170.60384
08003,2295.0,7529.5278
08005,1701.0,5580.70884
08007,2221.0,7286.74564
08009,1313.0,4307.74292
08011,1242.0,4074.80328
08013,2517.0,8257.87428
08014,1627.0,5337.92668
08015,3852.0,12637.79568
08017,1335.0,4379.9214
08019,3262.0,10702.10008
08021,2545.0,8349.7378
08023,2454.0,8051.18136
08025,1391.0,4563.64844
08027,2650.0,8694.226
08029,1882.0,6174.54088
08031,1613.0,5291.99492
08033,2437.0,7995.40708
08035,1962.0,6437.00808
08037,2596.0,8517.06064
08039,1827.0,5994.09468
08041,1948.0,6391.07632
08043,2058.0,6751.96872
08045,2735.0,8973.0974
08047,3073.0,10082.02132
08049,2637.0,8651.57508
