FIPS,county_name,median_age
08099,"Prowers County, Colorado",37.8
08101,"Pueblo County, Colorado",39.8
08103,"Rio Blanco County, Colorado",39.2
08105,"Rio Grande County, Colorado",41.3
08107,"Routt County, Colorado",41.9
08109,"Saguache County, Colorado",49.9
08111,"San Juan County, Colorado",49.3
08113,"San Miguel County, Colorado",41.9
08115,"Sedgwick County, Colorado",44.5
08117,"Summit County, Colorado",39.0
08119,"Teller County, Colorado",51.1
08121,"Washington County, Colorado",40.2
08123,"Weld County, Colorado",35.0
08125,"Yuma County, Colorado",39.6
09110,"Capitol Planning Region, Connecticut",39.8
09120,"Greater Bridgeport Planning Region, Connecticut",40.5
09130,"Lower Connecticut River Valley Planning Region, Connecticut",45.6
09140,"Naugatuck Valley Planning Region, Connecticut",41.1
09150,"Northeastern Connecticut Planning Region, Connecticut",41.7
09160,"Northwest Hills Planning Region, Connecticut",45.1
09170,"South Central Connecticut Planning Region, Connecticut",39.9
09180,"Southeastern Connecticut Planning Region, Connecticut",41.6
09190,"Western Connecticut Planning Region, Connecticut",41.1
10001,"Kent County, Delaware",38.5
10003,"New Castle County, Delaware",39.0
10005,"Sussex County, Delaware",51.3
11001,"District of Columbia, District of Columbia",34.8
12001,"Alachua County, Florida",31.7
12003,"Baker County, Florida",37.7
12005,"Bay County, Florida",41.2
12007,"Bradford County, Florida",39.9
12009,"Brevard County, Florida",47.0
12011,"Broward County, Florida",41.0
12013,"Calhoun County, Florida",41.9
12015,"Charlotte County, Florida",59.9
12017,"Citrus County, Florida",56.9
12019,"Clay County, Florida",39.9
12021,"Collier County, Florida",52.2
12023,"Columbia County, Florida",40.7
12027,"DeSoto County, Florida",41.7
12029,"Dixie County, Florida",45.8
12031,"Duval County, Florida",36.6
12033,"Escambia County, Florida",38.1
12035,"Flagler County, Florida",52.4
12037,"Franklin County, Florida",48.7
12039,"Gadsden County, Florida",41.9
12041,"Gilchrist County, Florida",42.7
12043,"Glades County, Florida",47.4
12045,"Gulf County, Florida",46.5
12047,"Hamilton County, Florida",41.8
12049,"Hardee County, Florida",35.2
12051,"Hendry County, Florida",35.1
12053,"Hernando County, Florida",48.5
12055,"Highlands County, Florida",54.1
12057,"Hillsborough County, Florida",37.6
12059,"Holmes County, Florida",41.0
12061,"Indian River County, Florida",54.8
12063,"Jackson County, Florida",42.9
12065,"Jefferson County, Florida",47.8
12067,"Lafayette County, Florida",40.6
12069,"Lake County, Florida",46.9
12071,"Lee County, Florida",49.1
12073,"Leon County, Florida",31.4
12075,"Levy County, Florida",47.3
12077,"Liberty County, Florida",39.6
